,tweet,polarity,evaluation
0,RT @JesseKellyDC: Remember when a bunch of Democrat mayors let their own cities get trashed by ANTIFA/BLM terrorists so Joe Biden could winâ€¦,0.6,Positive
1,@yellowdaisyami And that's just the carry-on...,0.0,Neutral
2,"@ShopeeID Bismillah semoga menang ğŸ™ğŸ»ğŸ˜”
A. PHANTOM VIOLET
A. PHANTOM VIOLET
A. PHANTOM VIOLET
A. PHANTOM VIOLET
A. PHANTOM VIOLET

#HadiahSmartphoneDariShopee 
#HadiahSmartphoneDariShopee 
#HadiahSmartphoneDariShopee

3286",0.0,Neutral
3,the weeds REQUEST @dimash_official @MTV #FridayLivestream,0.0,Neutral
4,RT @MegaTronn85: Last time ima say this and Iâ€™m full Jamaican born and raised ...Haitian food is smack. Untouchable...stop the shits ğŸ˜‚ğŸ˜‚,0.175,Positive
5,believe it or not,0.0,Neutral
6,RT @HunterThore: Happy Birthday to my wonderful sister @whitneywaythore ! You are truly an inspiration! Love you! Have a great day! #birthdâ€¦,0.85625,Positive
7,"RT @dykesan_: YALL USE #MC_Yeosang TO CELEBRATE AND SEND GOOD MESSAGES FOR YEOSANG, HIS FIRST DAY AS AN MC WILL BE ON MARCH 2nd THE FIRST Dâ€¦",0.3,Positive
8,@LindaZBraden @SawyerHackett @tedcruz @GeneforTexas @Juan_Gomez18 Flying over the Wall that he supported. Isnâ€™t that ironic?,0.2,Positive
9,@Ghumrah1 @virendersehwag He performs or not RCB fans will always support and watch rcb  ğŸ˜ğŸ˜@Gumrah 1,0.0,Neutral
10,@peachvintxqe aw thank you!!,0.0,Neutral
11,RT @kikiinotkim: Love is hella funny ğŸ˜‚ğŸ˜³ bitch this shit crack,0.18333333333333335,Positive
12,"Cate Blanchett at the Berlinale Film Festival,  2020...â¤ https://t.co/5yVwUCBRjk",0.0,Neutral
13,"RT @AriBerman: Georgia House Republicans just introduced a bill to ban early voting on Sundays prior to election, when Black churches do Soâ€¦",-0.022222222222222216,Negative
14,"RT @kurteichenwald: We should not just focus on the disregard of Texans's suffering by @tedcruz, @JohnCornyn, and @GregAbbott_TX (who addedâ€¦",0.0,Neutral
15,RT @ReggieBushed: No wonder yâ€™all rent is like $1.45 the house made outta styrofoam and prayers. I thought this was a murder scene at firstâ€¦,0.0,Neutral
16,RT @renee_madeline: Try being a good senator smh,0.7,Positive
17,@DailyCaller @tedcruz glad you are fortunate enough to be able to just escape this bullshit that you are responsible forğŸ˜‚ I am begging. PLEASE RESIGN.,0.31999999999999995,Positive
18,RT @RepMattGaetz: Pelosi hired a bigot to hunt MAGA. https://t.co/uBsksGZXfs,0.0,Neutral
19,"RT @CultureCrave: Paul Bettany on the mystery cameo in #WandaVision ğŸ‘€

""People seem to think [it's] Doctor Strange. Truth is ... There is oâ€¦",-0.05,Negative
20,@narendramodi .grandson of Rahul Gandhi..is the real reason for petrol price increase..not really Congress or UPA,0.2,Positive
21,THE POWER THEY HOLD https://t.co/X16uZJJbAN,0.0,Neutral
22,Why is the â€œgodsâ€ in â€œslayers of dragons and godsâ€ missing itâ€™s driving me up the wall #criticalrole https://t.co/WgcHgdWm7p,-0.2,Negative
23,RT @DammmmmnGirl_: bitch this yo second time leaving me if we ain cool nomore just say that ğŸ¤,0.175,Positive
24,@Jim_Jordan Where was this concern for the lives lost during the insurrection? F off!  Take his place and get your stupid putrid self out of Congress!,-0.9999999999999999,Negative
25,Layra in a nutshell,0.0,Neutral
26,"RT @taylorswift13: Cancel the DNA test Iâ€™m the 4th Haim sister and this song is the only proof I need 
#GasolineRemix",0.0,Neutral
27,RT @ColumbiaUK: one whole year since @harry_styles blessed us with this 'falling' performance at the @brits... ğŸ¥ºğŸ’• https://t.co/sWyBHMGlDQ,0.2,Positive
28,"RT @82vibe: when taeyong lost ruby, doyoung saw how sad he was so he went to make a ruby necklace for him ğŸ˜­ he had to do it without taeyongâ€¦",-0.5,Negative
29,"@RED_S0N If I could shake you right now I would so I could actually knock some sense into you ğŸ˜‘ If I wasnâ€™t sure about any of this we wouldnâ€™t be here in the first place. Stop thinking youâ€™re not good enough because you ARE. 

To me you are at least ğŸ˜Œ",0.05510204081632652,Positive
30,RT @Interior: Meet Elizabeth Ann. Sheâ€™s the first-ever cloned black-footed ferret. This groundbreaking effort is one of the solutions @USFWâ€¦,0.0,Neutral
31,"RT @Jollz: @binjoadeniran Lmaoooo youâ€™ll be interviewing them for job na so so â€œooh are you a Taurus, you have strong energyâ€. Oloshi whereâ€¦",0.4333333333333333,Positive
32,RT @fairynjaem: the way winwin just removes his glasses to self blur all the scary scenes JFCHJFHKJ LMAOO he took poor eye sight as his advâ€¦,-0.45,Negative
33,@koscojo Yes!!! There are literally LAYERS to why this email is unprofessional which is ultimately why I shared it bc ğŸ™ƒğŸ™ƒ,0.0,Neutral
34,RT @debbyontheweb: The biggest lie in icarly is that a guy like Spencer would be single in Seattle,-0.07142857142857142,Negative
35,"RT @MphoRMaphutha: Hi y'all, please help me find my friend, she was last seen Tuesday leaving Sunninghill for Jozi and hasn't been seen sinâ€¦",0.0,Neutral
36,I canâ€™t wait til this shit over...,-0.2,Negative
37,"RT @renoomokri: Have ESN been known to abduct, kill or rape? How many helicopters are searching for the abducted Kagara boys? How many trooâ€¦",0.5,Positive
38,Reading the messages here by you psycho fans is why people think anime watchers are mental.,-0.1,Negative
39,"@saturdaybra @saturday718 Seis

Hey @KCON_official! Could you please invite #Saturday for the #KCONTACT3? @saturday718 is a girlgroup with a lot of potential, they just need a little push! Please, consider it kindly!",0.171875,Positive
40,"@skipjordan @jmcorrigan0 @lifesafeast Preserved lemons are super easy to make, too! You basically cut them open, drop them in a jar and kosher salt them, then top the jar with lemon juice and store in the fridge for a month, flipping the jar weekly.",0.34375,Positive
41,@Shav330 @AdamWeinstein They make great points of interest scattered all through my house on end tables and as a centerpiece on my dining room table! ğŸ˜‚,1.0,Positive
42,"She was beheaded

bullied for not knowing an emoji 

and now THIS-",0.0,Neutral
43,@StoneColdMcCall He reaction was priceless. She was going to use Finn to get out of it. ğŸ˜‚ğŸ˜‚,1.0,Positive
44,RT @mckinleigh13: i just wanna drive around and listen to my music,0.0,Neutral
45,@elizasevermore that was NOT a flop for me. I enjoyed it,0.5,Positive
46,RT @BRlGHTWC: win metawin willingly posting these on his IG account like it doesnâ€™t affect all of us at all jdbsjdjd https://t.co/530Lff0VEl,0.525,Positive
47,Vulture NY $tyle! Freaks and Geeks Sends Lindsay Into Retreat - Linda Cardellini does some of her best work as Lindsay considers a return to being the person she was before she met the freaks....,1.0,Positive
48,Nashville need a show ğŸ˜­ğŸ˜­ğŸ˜­,0.0,Neutral
49,@UTD_Samy @MLB @MikeTrout @MLBNetwork @Angels with the exception of chris davis*,0.0,Neutral
50,I feel tired.,-0.4,Negative
51,"RT @langleav: I love you, I doâ€”you have my word. 

You have all my words.",0.5,Positive
52,@CvulLu @Elyuwu_ mate ur 15 acting like anyone cares what u say,0.0,Neutral
53,"iâ€™m going for that persons kneecaps istg,, iâ€™m so sad because i came to nsfw since i didnâ€™t feel safe at all on mâ€¦ â€” I know how you feel like iâ€™ve deactivated a handful of times cos itâ€™s just become kinda toxic after that whole sfâ€¦ https://t.co/BqzeP4hBvb",0.06666666666666667,Positive
54,@TheNedBarnett There has to be a gag where one of them loses their arms like this https://t.co/9cZVYLJsxh,-0.3,Negative
55,RT @jihadwatchRS: Pakistan: Muslim coworkers threaten to rape and murder Christian teacher if she doesnâ€™t convert to IslamÂ  https://t.co/mYâ€¦,0.0,Neutral
56,RT @theelectwoman08: Iâ€™d honestly prefer it if yâ€™all didnâ€™t even pretend to watch tennis.,0.6,Positive
57,@kyyunix when the sexual predator is sus,0.5,Positive
58,"RT @MattWalshBlog: Right when it was revealed that the FBI is investigating Cuomo over the nursing home scandal, suddenly the media startsâ€¦",0.14285714285714285,Positive
59,"RT @kyumloops: THE WORLD IS NOT READY FOR HIM 
#YUGYEOM @real_Kimyugyeom https://t.co/RXknJtr2CB",-0.1,Negative
60,"@RileyJayWrites It's a very, very potent feeling",0.65,Positive
61,@_Philly_Talk Wild that people donâ€™t read the trade details and tweet stuff like this,0.1,Positive
62,RT @ENBYBEDO: hey guys remember genshin is having maintenance all day tomorrow so donâ€™t log in !! ğŸ˜‡ğŸ˜‡ https://t.co/0Mr3eiS9nK,0.0,Neutral
63,I know I'm an artist 'cause I just can't stand the thought that a love as beautiful as ours could be forgotten,0.675,Positive
64,@mcnelis @bruceholsinger @bexistorian Itâ€™s super slow in Michigan right now.,0.10634920634920632,Positive
65,@DevinCow @tedcruz I thought that's exactly where he might have gone to warm up!,0.5,Positive
66,"RT @dynamblue: DEJEN SU VOTO DE HOY
 
1 RT / COMENTARIO: 1VOTOğŸ—³ğŸ—³

My vote for Favorite Music Group at the #KCAÂ  is BTS #VoteBTS @BTS_twt",0.5,Positive
67,RT @callmeizzyy: Me bumping to the same song Iâ€™ve already played 13 times https://t.co/Yjux8mTvr6,0.0,Neutral
68,RT @CWeston_Indo: Ulster Bank tracker mortgage customers should do nothing. If you switch lender you lose the tracker. Whoever buys the UBâ€¦,0.0,Neutral
69,"RT @keren_khin: Tomorrow hashtag &amp; tagline!
Hold on everyone! We are almost end up with winning in this fight.

#WhatsHappeningInMyanmar htâ€¦",0.5,Positive
70,RT @bolu_ay: Moe might have cost us the super bowl tonight ğŸ˜­ğŸ˜­ğŸ˜­,0.3333333333333333,Positive
71,@RealBennettMD I borrowed it...,0.0,Neutral
72,"RT @Roobee_invest: ğŸ”¥$500 $ROOBEE #GIVEAWAYğŸ”¥ 

Let's celebrate the $ROOBEE listing on https://t.co/44XAmzjHIl

To enter:
âœ…Follow @Hotbit_newâ€¦",0.0,Neutral
73,RT @MD511State: INCIDENT:I-95 NORTH AT MP 91 (TYDINGS BRIDGE) 2/3 NORTHBOUND-2 RIGHT TRAFFIC LANES CLOSED. #MDTraffic 43,0.09285714285714285,Positive
74,"RT @wnrstweets: if youâ€™re not in a good place today mentally be easy on yourself. be patient with your healing. sometimes itâ€™s slow, or eveâ€¦",0.27777777777777773,Positive
75,@joelstevens01 I THOUGHT I BLENDED IN OK CLEARLY I WAS DELUSIONAL,0.3,Positive
76,RT @JAYBUMAOM: Welcome to the fam ğŸ˜ğŸ’¯ https://t.co/4kgxhi1o2J,0.8,Positive
77,Important!,0.5,Positive
78,"RT @pattaaaaayx3: Only one made it to the gram, but twitter gets both https://t.co/LD41AG7Qp9",0.0,Neutral
79,RT @Kama7esh: Walau what fuck kinda topic is this? â˜ ï¸â˜ ï¸â˜ ï¸ https://t.co/ahHYnPx41n,-0.4,Negative
80,"RT @courtneymilan: Letâ€™s dunk on Ted by pushing AOCâ€™s list of charities doing the work in Texas past the $1mil mark.

https://t.co/HilS3n38â€¦",-0.25,Negative
81,@sujpg U donâ€™t watch it btw,0.0,Neutral
82,RT @ForeverLoATX: Telemundo wanted the chisme first â˜•ï¸ https://t.co/4pMhF4OBEM,0.25,Positive
83,"RT @DeanObeidallah: WOW: Ted Cruz minutes ago told reporters in Cancun why he went there: â€œTexas is going through horrific storms, and millâ€¦",-0.45,Negative
84,@TheSzyentist How about now?,0.0,Neutral
85,"RT @ATEEZWorldwide: We only have more than a week before D-DAY, if you want to be part of our streaming group please fill out the form beloâ€¦",0.25,Positive
86,@Saltyfootball5 @POTUS The dumbest people on the planet think Trump is a smart human being. The most cowardly lunatics thinks Trump won the 2020 election. FY,0.2380952380952381,Positive
87,"@alexpjc @pavyg Many examples &amp; videos of this e.g WTF London, Melbourne &amp; US Open. You have only to research. Easy to find. Just type name + arrogance &amp; petulance. You're welcome. 
.",0.20555555555555557,Positive
88,Time for my Demon King musings: A Thread,0.0,Neutral
89,"RT @RichardGrenell: Youâ€™ve never seen signature verification like they are about to do in California. 

@Steve_Glazer is considered a moderâ€¦",0.0,Neutral
90,RT @thereallandrea: You gotta get tf up everyday &amp; do this shit for you. Fuck what everybody else doing &amp; saying. This is your life,-0.26666666666666666,Negative
91,RT @matthewamiller: First rule of crisis management: donâ€™t lie about it. Second rule of crisis management: especially when thereâ€™s a paperâ€¦,0.08333333333333333,Positive
92,"RT @questCNN: EXCLUSIVE: The President of the European Central Bank tells #QMB 2021 will be the â€œyear of recovery."" Christine @Lagarde charâ€¦",0.0,Neutral
93,"RT @bessbell: I'm not saying Ted and Heidi Cruz are despised by the people in their innermost circle, but imagine thinking you're close enoâ€¦",0.0,Neutral
94,"taeyong wants to earn lots of money so he can spoil his mom, yup taeyong best boy  https://t.co/iOtGskR8lG",0.6,Positive
95,ğŸ˜–ğŸ˜–I miss you smile https://t.co/xcwXkJurnn,0.3,Positive
96,"RT @KamVTV: Joe Biden called a lid for the day due to winter weather. 

Remember when President Trump stopped working due to cold weather aâ€¦",-0.2833333333333333,Negative
97,RT @heyitsJudeD: My husband said communicating is really not my strong point so I gave him the finger,-0.21666666666666665,Negative
98,RT @LeoLeonDraws: why did i make this and why did i do it again #leafeon https://t.co/Lyki2nGaPY,0.0,Neutral
99,RT @onemegawatt: Rough design I'm finally kinda happy with #Trinity_Quest https://t.co/4uroz3PDBY,0.23333333333333336,Positive
100,That was amazing.extraordinary. It was quite extraordinary.,0.3333333333333333,Positive
101,i hope my future babydaddy likes deftones,0.0,Neutral
102,RT @LesRoboz: Maintenance Dude Talkin All Kinda Pipes n Plumber Talks.. Bruh Iâ€™m High As A Muh Fuugga Do Yuh Thang n Dip,0.16,Positive
103,@iMunchLino gm  mar  have  a  nice  day  !,0.75,Positive
104,"I keep thinking that this would be a great time for China to invade our country, but then Iâ€™m reminded that they already have.",0.8,Positive
105,@SquadMikeZ Fine. Just know that I'm aiming to get blackout drunk. (Slides bottle of vodka to Mike),-0.04166666666666666,Negative
106,"RT @Vtm_gulf: 00:12

Gulf : it's like I'm an audience  #kitchendlivexgulf https://t.co/Iu7FOszkOX",0.0,Neutral
107,"RT @asuitedguy89: macaroni in a pot, thatâ€™s some wet ass bussy https://t.co/WhD09V7WYp",-0.1,Negative
108,"@IchiAnu Damn :/
Maybe you should take a nap and calm down
And have a sip of water and stay hydrated...",0.07222222222222223,Positive
109,@BeyTHTBITCH @beyoncespotifys I hate when they do this and then donâ€™t answer,-0.8,Negative
110,"Julia I respect you, but donâ€™t go off piste - the govt are doing a good job - we must not play populist fast and loose with life. This is a war",0.27435897435897433,Positive
111,RT @SativaCoquette: I need to go to sleep; can you help untie me? https://t.co/yycqo3yytr,0.0,Neutral
112,RT @Zombeeena1: I fourth this motion #Dogecoin,0.0,Neutral
113,RT @not_privatepyle: So basically what we at A10 Talk have figured out is that the seeding thing is just a maze that will eventually lead tâ€¦,0.0,Neutral
114,@caluims fillyâ€™s laugh is so elite,0.3,Positive
115,RT @BrandtsBoys: When your straight friend loses a bet &amp; has to suck your cock so you ask him to swallow... but he runs to spit ğŸ˜‚ Like if yâ€¦,-0.04999999999999999,Negative
116,@doiedosa i literally eat everything with my hands except for rice and noodles ğŸ˜¬,0.0,Neutral
117,"RT @golikehellmachi: given the chatter on this site today â€” including my own â€” greg abbott, who is *actually* in charge of texas, owes tedâ€¦",0.3,Positive
118,RT @innie_jinnie: the amount of love and support got7 gave to their maknae. IM IN TEARS ğŸ˜­ https://t.co/bt5pXYpue7,0.5,Positive
119,@it_is_ethan @teresadinv you two are so cute omg,0.5,Positive
120,anybody got tips for increasing bench?? i feel like iâ€™ve stagnated a bit but itâ€™s too hard to lift any heavier.,-0.2916666666666667,Negative
121,RT @DanRather: Letâ€™s be fair. Dunking on Ted Cruz is sort of like dunking on a 3-foot rim.,0.7,Positive
122,RT @DannyZuker: I feel like I owe @tedcruz an apology. When he voted against sending aid to my home state of New Jersey after Sandy I accusâ€¦,0.13636363636363635,Positive
123,"RT @mygbebe: ""Yoongi: BE is an album that fills your chest.
Namjoon: Big chest album."" https://t.co/InTwO2gucj",0.0,Neutral
124,"RT @RawFuckerXXX: I will Fuck You till you cum... 

Subscribe: https://t.co/0bzcXo7AhI https://t.co/cTnfYFoq6Q",-0.4,Negative
125,"RT @selenagomezdot: selena really got us watching from korean award shows to spanish award shows,,, american award shows are cancel!ed httpâ€¦",0.06666666666666667,Positive
126,@KingKunal87 @chrisfurukawa23 @Teacherman1986 @BauerOutage @Luba_Sports Still doesn't change the fact that nobody especially a athlete deserves that much money.,0.1,Positive
127,RT @JAYBUMAOM: Welcome to the fam ğŸ˜ğŸ’¯ https://t.co/4kgxhi1o2J,0.8,Positive
128,RT @crystalwillseeu: BIMINI BON (and I canâ€™t stress this enough) BOULASH,0.0,Neutral
129,"RT @hynilx: hello here is a thread to help you out for kingdom and some referral codes for whosfan :

GP186948

SY738308

FZ760131

LF77717â€¦",0.0,Neutral
130,"@RikiRachtman I will only comment, that picture frame is up to date! ğŸ¤˜ğŸ»ğŸ¤¦ğŸ¼â€â™‚ï¸",0.0,Neutral
131,RT @PrEeT_SanDhU_06: @oye_student @nadirypatel @CitImmCanada @MinistreMcCann @francoislegault @jfrobergeQc @marcomendicino @NadineGirault @â€¦,0.0,Neutral
132,RT @balagonline: I donâ€™t even have words to describe how awful things are down here in Texas. people are freezing to death in their homes aâ€¦,-0.5777777777777778,Negative
133,RT @_faezerh: When you get a gut feeling to stay home ...... stay home.,0.0,Neutral
134,RT @elizaorlins: Cops do this because they know they wonâ€™t be held accountable for this kind of violence â€” because Cy Vance and his fellowâ€¦,0.6,Positive
135,Everything is fine. https://t.co/QrXJpRdGmJ,0.4166666666666667,Positive
136,RT @IanMaher7: Public health warning: Donâ€™t read the Daily Mail. Itâ€™s pushing for a swift easing of lockdown despite the extra suffering anâ€¦,0.0,Neutral
137,"RT @pinkeeunaa: I nominate YOON JAEHYUK of TREASURE for Master of Dance Contest #ëŒ„ìŠ¤ì¥ì¸_JAEHYUK

#YOONJAEHYUK #ìœ¤ì¬í˜ 
@treasuremembers #íŠ¸ë ˆì €",0.0,Neutral
138,RT @wonyouu: shes like a mom singing her kids to sleep ğŸ¥º https://t.co/qXkg2Lce9n,0.0,Neutral
139,NEVER FORGET TED CRUZ IS THE ZODIAC KILLER!,0.0,Neutral
140,"@hausofkyls Nothing much, you?",0.2,Positive
141,AND SHE WAS IN THE KISS X SIS ONE??? good lord ğŸ˜­ğŸ˜­.......... atleast they were minor roles but was there nothing better....,0.3833333333333333,Positive
142,RT @xtbidx: Do you think he'll like it Dad? ğŸ’âœ¨ https://t.co/a42u42JEft,0.0,Neutral
143,Iâ€™m conflicted but not really :),-0.1,Negative
144,RT @terryjtucker: Retweet if you think Texas absolutely deserves better than Ted Cruz.,0.35,Positive
145,"RT @kylegriffin1: NYT has texts messages Heidi Cruz sent to friends and Houston neighbors.

Their house was ""FREEZING"" â€” and she proposed aâ€¦",0.0,Neutral
146,RT @StarWars_Direct: The Dark Side-focused official cover for #StarWars: THE SECRETS OF THE SITH has been revealed: https://t.co/mvtpfNmWl5â€¦,-0.15,Negative
147,"RT @shysteven22: After a great conversation with @Coach_Minter, I am blessed to say I have received an offer from Vanderbilt University #Anâ€¦",0.8,Positive
148,"RT @IlhanMN: Itâ€™s official. Taking on tik tok challenges ğŸ™ˆ what else should I tackle here, I'm new to this and mostly trolling my kids.

htâ€¦",0.3181818181818182,Positive
149,"@huz03 @rwcaps @laurenboebert Maybe.
But the right wing are anxious to kill: https://t.co/6bl0lnPKLs",0.01785714285714285,Positive
